Prod Code,Product,MRP,Opening,Adjustment,Purchase,Pur Return,Sale,Schem,Combo,Issue,Deliver Recipt,Production,Stock Rsv,Stock Trans,Expiry,Total
423,ORAL-B TOOTH BRUSH SENSITIVE WHITENING SOFT BUY2GET1FREE,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0
424,ORAL-B TOOTH BRUSH ALL ROUNDER MEDIUM 1P,35,0,0,12,0,0,0,0,0,0,0,0,0,0,12
425,ORAL-B TOOTH BRUSH SHINY CLEAN SOFT 1NOS,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
426,ORAL-B TOOTH PASTE HEALTHY 32 MINT 40GM,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
427,COLGATE TOOTH PASTE VISIBLE WHITE 2X100GM,158,1,0,0,0,0,0,0,0,0,0,0,0,0,1
428,COLGATE TOOTH BRUSH EXTRA CLEAN MEDIUM,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
430,COLGATE TOOTH BRUSH 360 FLOSS TIP MEDIUM 1N,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0
431,COLGATE TOOTH BRUSH SUPER SHINE MEDIUM 1NOS,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
432,COLGATE TOOTH BRUSH SENSITIVE ULTRA SOFT 1P,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0
433,COLGATE TOOTH BRUSH SUPER FLEXI MEDIUM 1N,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
434,COLGATE TOOTH BRUSH ZIG ZAG SOFT 1N,25,1,0,0,0,0,0,0,0,0,0,0,0,0,1
435,COLGATE TOOTH PASTE TOTAL ADVANCED HEALTH BUY 2 140GM TOOTH BRUSH FREE,204,0,0,0,0,0,0,0,0,0,0,0,0,0,0
436,COLGATE TOOTH BRUSH ZIGZAG MEDIUM SHAVER PACK,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0
437,COLGATE TOOTH BRUSH 360 WHOLE MOUTH CLEAN PACK OF 2 SOFT,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0
439,BILT ETIQUETTE NAPKIN,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0
